table,rows_exported,extract_time_utc
salesorderheader,31465,2025-12-06T02:37:59.242764
salesorderdetail,121317,2025-12-06T02:37:59.242764
customer,19820,2025-12-06T02:37:59.242764
product,504,2025-12-06T02:37:59.242764
productcategory,4,2025-12-06T02:37:59.242764
productsubcategory,37,2025-12-06T02:37:59.242764
inventory,1069,2025-12-06T02:37:59.242764
person,19972,2025-12-06T02:37:59.242764
creditcard,19118,2025-12-06T02:37:59.242764
salesreason,10,2025-12-06T02:37:59.242764
salesorderheadersalesreason,27647,2025-12-06T02:37:59.242764
transactionhistory,113443,2025-12-06T02:37:59.242764
workorder,72591,2025-12-06T02:37:59.242764
